BBDD_ID,PRICE,CONTRUCTION_DATE,NEIGHBORHOOD,PARKING_LOTS,AREA,ADMINISTRATION_PRICE,STRATUM,STORAGE_ROOM,BEDROOM,BATHROOM,HALF_BATHROOM,VIEW_TYPE,PARKING_LOT_TYPES,KITCHEN_FEATURES,BALCONIES,LIVING_ROOMS,DINNING_ROOMS,LAUNDRY_AREAS,SERVICE_ROOMS,DRESSING_ROOMS,SERVICE_BATHROOMS,STUDYING_ROOMS,GREEN_ZONES,GYM,POOL,TURCO,VISITOR_PARKING_LOTS,YARD,KIDS_PARK,BBQ,SOCIAL_ROOM,SPORTS_FIELD,SOLARIUM
324067,470000000,1984-01-01 5:00:00,Castropol,0,121,277000,5,,3,2,,,Cubierto,Integral,1,,,,1,1,,,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
240219,330000000,1994-01-01 5:00:00,Belén Centro,1,97,100000,5,,3,3,,,,Integral,1,1,1,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
147744,490000000,2019-01-01 5:00:00,Florida Nueva,1,98,0,4,,3,2,,,Cubierto,,,1,,,,,,,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
323812,265000000,1996-01-01 5:00:00,Barrio La América,0,98,117000,4,,3,2,,,,Integral,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
175401,220000000,2020-12-31 0:00:00,Fátima,0,55,,4,,2,2,,,,,1,0,,1,0,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
237735,765000000,2014-01-01 5:00:00,Santa María de los Ángeles,2,136,482000,6,,3,3,0,Exterior,Cubierto,Integral,1,1,,1,1,1,1,0,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO
324006,305000000,2016-01-01 5:00:00,La Pilarica,1,94,350000,5,,3,2,,,,Integral,,,,,,,,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
323800,900000000,2006-01-01 5:00:00,La Aguacatala,2,344,565000,6,,5,5,,,Cubierto,Integral,,1,1,,,,,,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO
203276,550000000,2017-01-01 5:00:00,Ciudad del Río,1,86,300000,6,,3,2,,,Cubierto,"Equipada,Isla",1,,,,,,,,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO
324165,400000000,1990-01-01 5:00:00,Belén Centro,1,144,315000,5,,4,3,,,,Integral,1,1,1,1,,,,,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO
323854,390000000,1995-01-01 5:00:00,Barrio Antioquia,1,117,256000,5,,5,3,,,,Integral,1,,,,,,1,,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO
323906,550000000,1990-01-01 5:00:00,Las Lomas,2,186,333000,5,,4,3,,,Cubierto,,1,,1,1,1,1,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
69607,400000000,2001-01-02 0:00:00,Belén Centro,1,110,307900,5,,3,2,,,Cubierto,"Cerrada,Integral",1,1,,TRUE,0,0,0,0,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
431877,1390000000,2006-01-01 5:00:00,El Tesoro,3,262,670000,6,1,3,4,,,,,,,,,,1,,,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
